,TIME,DATA_VALUE
0,200001,21893
1,200002,21915
2,200003,21959
3,200004,21971
4,200005,22076
5,200006,22099
6,200007,22229
7,200008,22304
8,200009,22352
9,200010,22356
10,200011,22313
11,200012,22273
12,200101,22090
13,200102,22125
14,200103,22237
15,200104,22487
16,200105,22536
17,200106,22533
18,200107,22554
19,200108,22623
20,200109,22672
21,200110,22679
22,200111,22758
23,200112,22758
24,200201,22817
25,200202,22907
26,200203,22869
27,200204,23013
28,200205,22961
29,200206,22974
30,200207,23001
31,200208,23043
32,200209,23058
33,200210,23039
34,200211,22976
35,200212,23087
36,200301,23001
37,200302,22968
38,200303,22941
39,200304,22897
40,200305,22956
41,200306,22978
42,200307,23065
43,200308,23043
44,200309,23048
45,200310,23131
46,200311,23210
47,200312,23316
48,200401,23468
49,200402,23605
50,200403,23597
51,200404,23527
52,200405,23423
53,200406,23464
54,200407,23452
55,200408,23391
56,200409,23624
57,200410,23626
58,200411,23596
59,200412,23775
60,200501,23674
61,200502,23672
62,200503,23734
63,200504,23678
64,200505,23692
65,200506,23704
66,200507,23666
67,200508,23629
68,200509,23753
69,200510,23803
70,200511,23804
71,200512,23810
72,200601,23909
73,200602,23940
74,200603,23975
75,200604,23949
76,200605,23965
77,200606,23995
78,200607,23989
79,200608,24031
80,200609,24048
81,200610,24122
82,200611,24174
83,200612,24200
84,200701,24291
85,200702,24250
86,200703,24286
87,200704,24299
88,200705,24314
89,200706,24335
90,200707,24347
91,200708,24334
92,200709,24356
93,200710,24424
94,200711,24494
95,200712,24499
96,200801,24526
97,200802,24498
98,200803,24516
99,200804,24542
100,200805,24558
101,200806,24562
102,200807,24571
103,200808,24570
104,200809,24526
105,200810,24572
106,200811,24627
107,200812,24567
108,200901,24518
109,200902,24441
110,200903,24441
111,200904,24482
112,200905,24504
113,200906,24733
114,200907,24629
115,200908,24669
116,200909,24686
117,200910,24648
118,200911,24686
119,200912,24588
0,201001,24850
1,201002,24742
2,201003,24752
3,201004,24885
4,201005,24937
5,201006,24966
6,201007,25119
7,201008,25000
8,201009,25013
9,201010,25057
10,201011,24970
11,201012,25145
12,201101,24971
13,201102,25219
14,201103,25378
15,201104,25357
16,201105,25418
17,201106,25511
18,201107,25450
19,201108,25487
20,201109,25243
21,201110,25534
22,201111,25508
23,201112,25533
24,201201,25510
25,201202,25649
26,201203,25719
27,201204,25797
28,201205,25885
29,201206,25858
30,201207,25843
31,201208,25810
32,201209,25881
33,201210,25866
34,201211,25793
35,201212,25730
36,201301,25774
37,201302,25722
38,201303,25820
39,201304,25992
40,201305,26056
41,201306,26123
42,201307,26173
43,201308,26207
44,201309,26284
45,201310,26357
46,201311,26401
47,201312,26383
48,201401,26589
49,201402,26768
50,201403,26670
51,201404,26849
52,201405,26714
53,201406,26752
54,201407,26859
55,201408,26984
56,201409,26936
57,201410,26971
58,201411,27013
59,201412,26943
60,201501,27030
61,201502,27133
62,201503,27005
63,201504,27039
64,201505,27104
65,201506,27110
66,201507,27203
67,201508,27203
68,201509,27227
69,201510,27232
70,201511,27236
71,201512,27343
72,201601,27284
73,201602,27354
74,201603,27271
75,201604,27236
76,201605,27273
77,201606,27346
78,201607,27409
79,201608,27608
80,201609,27571
81,201610,27561
82,201611,27557
83,201612,27589
84,201701,27533
85,201702,27736
86,201703,27703
87,201704,27750
88,201705,27644
89,201706,27707
90,201707,27715
91,201708,27826
92,201709,27833
93,201710,27816
94,201711,27833
95,201712,27896
96,201801,27874
97,201802,27763
98,201803,27902
99,201804,27878
100,201805,27834
101,201806,27789
102,201807,27822
103,201808,27989
104,201809,27996
105,201810,27980
106,201811,28041
107,201812,27958
108,201901,28069
109,201902,28054
110,201903,28087
111,201904,28138
112,201905,28114
113,201906,28164
114,201907,28188
115,201908,28136
116,201909,28189
117,201910,28275
118,201911,28314
119,201912,28472
0,202001,28567
1,202002,28434
2,202003,27863
3,202004,27604
4,202005,27852
5,202006,27902
6,202007,27971
7,202008,27881
8,202009,27947
9,202010,28053
10,202011,28172
11,202012,28044
12,202101,27921
13,202102,28105
14,202103,28204
15,202104,28245
16,202105,28345
17,202106,28347
18,202107,28289
19,202108,28262
20,202109,28339
21,202110,28421
22,202111,28434
23,202112,28650
24,202201,28678
25,202202,28837
26,202203,28733
27,202204,28863
28,202205,29034
29,202206,28985
30,202207,29024
31,202208,28915
32,202209,28989
